id,title,description,type,repeatable,rewards,requiredItems,objectives,notes
alchemist-q1,ラインの中に隠されたもの,噂はやはり単なるデマではなかったようだ。迷える魂を呼び覚ます聖域とは…実に興味深い。もっと深く調べなければな。,探索,FALSE,gold-coin*1|arcane-essence*2,,礼拝堂'の場所を探索する:0:1,ダンジョンタイプ:忘れられた城
alchemist-q2,試運転,早かったな！手間とらせてしまってすまない。さぁ、調合の時間だ！,納品,FALSE,gold-coin*1|uncommon-weapon*1,lifeleaf*1|phantom-flower*1|wardweed*1,生命の葉:0:1|幻影の花:0:1|監房のハーブ:0:1,
alchemist-q3,ホーカス・ポーカス,素晴らしい！これをどこで見つけたかは聞かないでおこう…さぁ、報酬としてこれを受け取ってくれ。,納品,FALSE,gold-coin*1|uncommon-armor*1,broken-skull*2|grave-essence*1|maggots*2,壊れた頭蓋骨:0:2|墓場の土:0:1|うじ虫:0:2,
alchemist-q4,調合中,本当にやり遂げて、生還しその話を語ってくれた！しかしそれはわしの期待していたものとは違った結果となってしまったようじゃ。,使用,FALSE,gold-coin*1|uncommon-weapon*1|arcane-essence*1,,[回復ポーション]を使用する:0:1|[透明化ポーション]を使用する:0:1|[魔法保護ポーション]を使用する:0:1|[物理保護ポーション]を使用する:0:1,アイテムレアリティ：すべて|ダンジョンタイプ:忘れられた城|１試合中
alchemist-q5,空中の死,悪くない…飛んでいる汚物を十分に殺すと、どんどん簡単になってくる。,討伐,FALSE,gold-coin*1|uncommon-armor*1,,死の頭蓋キル数:0:5,ダンジョンタイプ:忘れられた城|１試合中
alchemist-q6,死の目覚め,あの厄介な問題を片付けてくれて感謝する。前回の実験はやりやすすぎだったかもしれないと思い始めていたんだ。これでわしが君にかけた迷惑は帳消しにできるはずじゃ。,討伐,FALSE,gold-coin*1|uncommon-weapon*1|uncommon-armor*1,,スケルトン弓兵キル数:0:7|スケルトン斧兵キル数:0:7|スケルトン両手剣士キル数:0:7|レイスキル数:0:2,ダンジョンタイプ:忘れられた城
alchemist-q7,あぁ兄よ,素晴らしい、これはまだ始まりにすぎないが、正しき道への一歩だ。やはり兄のやり方は無駄だ。過去の限界に縛られている。錬金術にはそんな限界がないと、すでにその力を感じ始めている。ポーションや組み合わせ、それぞれが私たちをより大きな何かに近づけてくれる。今は兄には見えていないかもしれないが、目を開けば、私たちが振るう事のできる力を彼に示すだろう。,納品,FALSE,gold-coin*1|arcane-essence*1|rare-armor*1,potion-of-healing*1|potion-of-invisibility*1|potion-of-protection*1,回復ポーション:0:2|透明化ポーション:0:2|物理保護ポーション:0:3,戦利品
alchemist-q8,コボルト生物学,素晴らしい、君が発見したことは非常に興味深い。コボルトは単なる獣ではなく、隠された可能性を秘めた存在だ。この結果を見て、やらなければならない別の実験を思い出した。時間ができたら、また私のところに来てくれ。,討伐,FALSE,gold-coin*1|rare-weapon*1,,氷コボルト弓兵キル数:0:10|氷コボルト斧兵キル数:0:11,ダンジョンタイプ:氷晶洞窟
alchemist-q9,見た目以上のもの,素晴らしい、予想以上の物を見つけてくれたな。狼たちは本当に価値のあるものを守っていた。この結果は私の研究の役に立つものだ。世界には科学では証明できないものがあるんだな。だがまだ終わりじゃない。私はこれから見つけたものを研究するから、進展があったら戻ってきてくれ。,探索,FALSE,gold-coin*1|rare-armor*1,,狼の洞窟'の場所探索する:0:2,ダンジョンタイプ:氷晶洞窟
alchemist-q10,最初の実験素材,予想通り、火への一定の耐性を持っているようだのう。結論を出すにはまだ早いが、さらなる実験で明らかになるじゃろう。火傷を防ぐポーションを作るにはこれで十分だわい。,討伐・納品,FALSE,gold-coin*1|arcane-essence*1,hardened-shell-fragment*4,溶岩カメキル数:0:7|硬化した甲羅の欠片:0:5,ダンジョンタイプ:ゴブリン洞窟
alchemist-q11,禁忌の応用,この熱、凄まじいものがあるのう。扱いを誤れば、容易く火傷を負うてしまうわい。ふむ、もしや、これに爆発の性質を加えられんものか。火炎瓶より小さく、されど遥かに強力な……研究の価値は、十二分にあるであろうよ。,討伐・納品,FALSE,gold-coin*1|rare-weapon*1,magma-essence*3,溶岩スライムキル数:0:5|マグマ・エッセンス:0:4,ダンジョンタイプ:ゴブリン洞窟
alchemist-q12,安全な実験のため,よくやってくれたのう。錬金術において、火の温度もまた重要でな。一定の熱を長きにわたって保ち続けるのは、なかなかに骨が折れるものなのじゃ。お主が持ってきたこの残り火があれば、これからの実験も随分とはかどるに違いなかろう。礼を言うぞ、助かったわい。,討伐・納品,FALSE,gold-coin*1|rare-armor*1,flickering-ember*2,火の精霊キル数:0:3|揺らめく残り火:0:3,ダンジョンタイプ:ゴブリン洞窟
alchemist-q13,秘密と害虫,噂は本当だった！隠されたレバーとは何とも魅力的だ。この遺跡にはまだ私たちの理解を超える多くの秘密が隠されている。ああ、それからワームを処理してくれてありがとう。あの惨めな生き物は私たちの生活には何の役にも立たない、特に大きなヤツはね！,討伐・操作,FALSE,gold-coin*1|epic-weapon*1,,ジャイアント・ワームキル数:0:3|隠された像のレバーの操作をする:0:1,ダンジョンタイプ:忘れられた城
alchemist-q14,小瓶と毒,よくやった！蜘蛛の壺が破壊されたおかげで私の錬金術の実験が再開できそうだ、これで毒物が調合品に混入する心配をせずに仕事ができる。,破壊,FALSE,gold-coin*1|epic-armor*1,,蜘蛛の壺を破壊する:0:13,ダンジョンタイプ:忘れられた城
alchemist-q15,耐え抜き、打ち勝て,この湿った奥深くで、お前は再び勝利を収めた。その魂の炎を燃やし続けろ。さらなる試練が待ち受けているからな。,討伐・生存,FALSE,gold-coin*1|epic-armor*1,,スケルトンキル数:0:44|ダンジョンで生き残る:0:6,ダンジョンタイプ:忘れられた城
